,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
72,71,"Friday, Jun 24",boxscore,NYY,,HOU,L,1.0,3.0,,52-19,1,up11.5,Verlander,Severino,Montero,3:05,N,47528,.38,-,,52,144.0
73,72,"Saturday, Jun 25",boxscore,NYY,,HOU,L,0.0,3.0,,52-20,1,up11.0,Javier,Cole,Pressly,3:14,D,45076,.44,--,,52,141.0
74,73,"Sunday, Jun 26",boxscore,NYY,,HOU,W,6.0,3.0,10,53-20,1,up11.0,King,Martinez,,3:45,D,44028,.54,+,,53,144.0
75,74,"Monday, Jun 27",boxscore,NYY,,OAK,W,9.0,5.0,,54-20,1,up12.0,Abreu,Puk,,3:24,N,33168,.44,++,,54,148.0
76,75,"Tuesday, Jun 28",boxscore,NYY,,OAK,W,2.0,1.0,,55-20,1,up12.5,Sears,Montas,Holmes,3:03,N,38051,.41,+++,,55,149.0
77,76,"Wednesday, Jun 29",boxscore,NYY,,OAK,W,5.0,3.0,,56-20,1,up13.0,Taillon,Irvin,Holmes,2:52,D,39647,.36,++++,,56,151.0
78,77,"Thursday, Jun 30",boxscore,NYY,@,HOU,L,1.0,2.0,,56-21,1,up12.5,Garcia,Severino,Pressly,2:54,N,40674,.32,-,,56,150.0
80,78,"Saturday, Jul 2 (1)",boxscore,NYY,@,CLE,W,13.0,4.0,,57-21,1,up14.0,Cole,McCarty,,3:28,D,21203,.35,+,,57,159.0
81,79,"Saturday, Jul 2 (2)",boxscore,NYY,@,CLE,W,6.0,1.0,,58-21,1,up14.0,Cortes,Civale,Holmes,3:09,N,29236,.30,++,,58,164.0
82,80,"Sunday, Jul 3",boxscore,NYY,@,CLE,L,0.0,2.0,,58-22,1,up13.5,McKenzie,Montgomery,Clase,2:55,D,26113,.24,-,,58,162.0
83,81,"Tuesday, Jul 5",boxscore,NYY,@,PIT,L,2.0,5.0,,58-23,1,up13.0,Quintana,Taillon,Bednar,2:59,N,37733,.31,--,,58,159.0
84,82,"Wednesday, Jul 6",boxscore,NYY,@,PIT,W,16.0,0.0,,59-23,1,up14.0,Severino,Keller,,3:21,N,32414,.32,+,,59,175.0
85,83,"Thursday, Jul 7",boxscore,NYY,@,BOS,W,6.0,5.0,,60-23,1,up14.5,Cole,Winckowski,Holmes,2:56,N,36876,.30,++,,60,176.0
86,84,"Friday, Jul 8",boxscore,NYY,@,BOS,W,12.0,5.0,,61-23,1,up15.5,Castro,Seabold,Luetge,3:51,N,36841,.25,+++,,61,183.0
87,85,"Saturday, Jul 9",boxscore,NYY,@,BOS,L,5.0,6.0,10,61-24,1,up15.0,Diekman,Peralta,,3:38,N,36945,.18,-,,61,182.0
88,86,"Sunday, Jul 10",boxscore,NYY,@,BOS,L,6.0,11.0,,61-25,1,up14.0,Sawamura,Chapman,,3:32,N,37291,.24,--,,61,177.0
89,87,"Tuesday, Jul 12",boxscore,NYY,,CIN,L,3.0,4.0,,61-26,1,up14.0,Sanmartin,Holmes,Diaz,3:21,N,40235,.21,---,,61,176.0
90,88,"Wednesday, Jul 13",boxscore,NYY,,CIN,W,7.0,6.0,10,62-26,1,up14.0,King,Diaz,,3:56,N,36772,.24,+,,62,177.0
91,89,"Thursday, Jul 14",boxscore,NYY,,CIN,L,6.0,7.0,10,62-27,1,up13.0,Sanmartin,Luetge,Moreta,3:44,N,41311,.20,-,,62,176.0
92,90,"Friday, Jul 15",boxscore,NYY,,BOS,L,4.0,5.0,11,62-28,1,up12.0,Houck,King,Brasier,4:00,N,47573,.25,--,,62,175.0
93,91,"Saturday, Jul 16",boxscore,NYY,,BOS,W,14.0,1.0,,63-28,1,up13.0,Taillon,Pivetta,Weber,3:09,N,47997,.34,+,,63,188.0
94,92,"Sunday, Jul 17",boxscore,NYY,,BOS,W,13.0,2.0,,64-28,1,up13.0,Cole,Sale,,3:32,D,47958,.26,++,,64,199.0
95,93,"Thursday, Jul 21 (1)",boxscore,NYY,@,HOU,L,2.0,3.0,,64-29,1,up12.0,Neris,King,,3:14,D,36225,.27,-,,64,198.0
96,94,"Thursday, Jul 21 (2)",boxscore,NYY,@,HOU,L,5.0,7.0,,64-30,1,up12.0,Garcia,German,Montero,3:11,N,39342,.30,--,,64,196.0
