,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count
62,61,Jun 22 (2),NYY,BOS,"W,3-2",CG,4,2,1,1,0,0,0,0,2,0,1,0,0,,0,,0,0,.347,.489,.750,1.239,3,.80,0.007,3.16,0.02%,LF,24
63,62,Jun 23,NYY,BOS,"W,11-4",CG,5,4,1,1,0,0,0,2,0,0,0,0,1,,0,,0,0,.345,.486,.741,1.227,3,1.00,0.130,3.53,0.28%,LF,24
64,63,Jun 25 (1),NYY,PHA,"L,6-7",GS-9,5,3,1,1,0,0,0,0,2,0,1,0,0,,0,,0,0,.345,.488,.735,1.223,3,1.88,0.015,8.42,0.04%,RF,24
65,64,Jun 25 (2),NYY,PHA,"L,2-4",GS-2,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.344,.486,.732,1.218,3,1.21,-0.030,6.01,-0.09%,RF,24
66,69 (4),Jun 29,NYY,BOS,"W,8-2",CG,5,5,1,4,1,0,0,1,0,0,0,0,0,,0,,0,0,.354,.491,.738,1.229,3,.98,0.163,3.46,0.34%,RF,24
67,70,Jun 30,NYY,BOS,"W,13-6",CG,5,4,2,2,1,0,1,3,1,0,1,0,0,,0,,0,0,.356,.493,.751,1.244,3,.64,0.270,2.19,0.55%,RF,25
69,71,Jul 1,NYY,BOS,"W,7-4",CG,4,4,1,2,0,0,0,1,0,0,0,0,0,,0,,0,0,.359,.493,.747,1.240,3,.55,0.038,1.79,0.07%,RF,25
70,72,Jul 2,NYY,BOS,"W,3-2",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.357,.490,.739,1.229,3,1.23,-0.066,3.55,-0.11%,RF,25
71,73,Jul 3,NYY,WSH,"L,5-6",CG,5,3,1,1,0,0,1,1,2,0,1,0,0,,0,,0,0,.357,.492,.746,1.238,3,1.28,0.148,4.76,0.33%,RF,26
72,74,Jul 4 (1),NYY,WSH,"W,12-1",CG,5,4,2,2,0,0,0,1,1,0,1,0,0,,0,,0,1,.359,.494,.742,1.236,3,.58,-0.009,2.54,-0.02%,RF,26
73,75,Jul 4 (2),NYY,WSH,"W,21-1",GS-7,5,3,3,3,0,1,0,1,2,0,0,0,0,,0,,0,0,.367,.502,.753,1.255,3,.30,0.120,1.09,0.27%,RF,26
74,76,Jul 5,NYY,WSH,"W,7-6",CG,5,3,2,1,1,0,0,1,1,0,0,0,0,,0,,0,0,.366,.502,.752,1.254,3,.98,0.006,3.02,0.01%,RF,26
75,77,Jul 8 (1),NYY,DET,"L,8-11",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.359,.494,.737,1.231,3,1.52,-0.206,3.98,-0.32%,LF,26
76,78,Jul 8 (2),NYY,DET,"W,10-8",CG,5,3,1,2,0,0,1,5,2,0,0,0,0,,0,,1,0,.363,.498,.748,1.247,3,.59,0.275,1.81,0.51%,LF,27
77,79,Jul 9 (1),NYY,DET,"W,19-7",CG,6,6,3,5,2,0,2,7,0,0,0,0,0,,0,,0,0,.373,.504,.780,1.284,3,.88,0.379,2.28,0.59%,LF,29
78,80,Jul 9 (2),NYY,DET,"L,4-14",CG(7),4,3,2,1,1,0,0,0,1,0,1,0,0,,0,,0,0,.373,.504,.779,1.283,3,.53,-0.046,1.11,-0.06%,LF,29
79,81,Jul 10,NYY,DET,"L,3-6",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,,0,,0,0,.366,.497,.764,1.262,3,.84,-0.119,2.19,-0.19%,LF,29
80,82,Jul 11,NYY,DET,"W,8-5",CG,5,4,1,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.361,.493,.754,1.246,3,.80,-0.013,2.52,-0.02%,LF,29
81,83,Jul 12,NYY,CLE,"W,7-0",CG,5,4,1,1,0,0,1,2,1,0,1,0,0,,0,,0,0,.359,.492,.757,1.249,3,.59,-0.012,1.55,-0.02%,RF,30
82,84,Jul 13,NYY,CLE,"W,5-3",CG,4,4,0,4,1,0,0,1,0,0,0,0,0,,0,,0,0,.368,.497,.764,1.261,3,1.45,0.442,3.33,0.61%,RF,30
83,85,Jul 14,NYY,CLE,"L,1-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,,0,0,.364,.495,.756,1.251,3,1.30,-0.055,2.32,-0.06%,RF,30
84,86,Jul 15,NYY,CLE,"W,10-9",CG,5,2,2,1,0,0,0,2,3,0,0,0,0,,0,,0,0,.365,.499,.754,1.253,3,1.49,0.257,3.10,0.32%,RF,30
85,87,Jul 16,NYY,SLB,"W,5-2",CG,5,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.361,.496,.747,1.243,3,1.10,-0.135,1.97,-0.15%,LF,30
86,88,Jul 17,NYY,SLB,"W,5-4",CG,4,2,0,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.362,.497,.745,1.242,3,1.59,0.033,2.22,0.03%,LF,30
87,89,Jul 18,NYY,SLB,"W,10-6",CG,5,4,0,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.361,.496,.738,1.234,3,.78,0.021,.98,0.02%,LF,30
88,90,Jul 19,NYY,SLB,"W,6-1",CG,5,4,1,1,0,0,0,1,1,0,1,0,0,,0,,0,0,.359,.495,.732,1.227,3,.34,0.027,.34,0.02%,LF,30
89,91,Jul 21,NYY,CHW,"W,4-1",CG,4,2,0,1,1,0,0,1,2,0,0,0,0,,0,,0,0,.360,.497,.734,1.231,3,.96,0.130,1.01,0.08%,LF,30
90,92,Jul 22,NYY,CHW,"L,5-7",CG,5,5,1,2,0,1,0,2,0,0,1,0,0,,0,,0,0,.361,.496,.735,1.231,3,.83,-0.062,.71,-0.03%,LF,30
91,93,Jul 23,NYY,CHW,"W,5-2",CG,5,3,0,1,0,0,0,0,2,0,1,0,0,,0,,0,0,.361,.498,.731,1.229,3,.92,0.123,.75,0.06%,LF,30
92,94,Jul 24,NYY,CHW,"W,3-2",CG,4,3,2,2,0,1,1,1,1,0,0,0,0,,0,,0,0,.364,.500,.746,1.246,3,.79,0.112,.59,0.05%,LF,31
93,95,Jul 26 (1),NYY,SLB,"W,15-1",CG,5,4,4,4,0,0,2,3,1,0,0,0,0,,0,,0,0,.372,.506,.768,1.274,3,.41,0.202,.23,0.07%,RF,33
94,96,Jul 26 (2),NYY,SLB,"W,12-3",GS-8,4,4,2,3,0,0,0,1,0,0,0,0,0,,0,,0,0,.376,.508,.768,1.276,3,1.18,0.223,.57,0.07%,RF,33
95,97,Jul 27,NYY,SLB,"W,4-1",CG,4,2,1,0,0,0,0,1,2,0,0,0,0,,0,,0,0,.374,.508,.763,1.271,3,.78,0.064,.44,0.02%,RF,33
96,98,Jul 28,NYY,SLB,"W,9-4",CG,5,5,2,3,0,0,1,3,0,0,1,0,0,,0,,0,0,.377,.509,.769,1.279,3,.44,0.047,.16,0.01%,RF,34
97,99,Jul 29,NYY,CLE,"L,4-6",CG,5,3,0,3,2,0,0,0,2,1,0,0,0,,0,,0,0,.383,.515,.777,1.293,3,1.54,0.305,.59,0.07%,RF,34
98,100,Jul 30 (1),NYY,CLE,"W,7-3",CG,5,4,2,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.381,.514,.771,1.285,3,.71,0.019,.30,0.01%,RF,34
99,101,Jul 30 (2),NYY,CLE,"W,5-0",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,,0,0,.378,.511,.765,1.276,3,.73,-0.057,.30,-0.01%,RF,34
101,102,Aug 1,NYY,CLE,"L,1-2",CG(6),3,2,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,.376,.509,.760,1.269,3,1.46,-0.089,.68,-0.03%,RF,34
102,103,Aug 3 (1),NYY,DET,"L,5-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.371,.505,.751,1.256,3,1.24,-0.127,.45,-0.03%,RF,34
103,104,Aug 3 (2),NYY,DET,"W,8-6",CG,5,4,1,2,1,0,0,1,1,0,1,0,0,,0,,0,0,.373,.506,.751,1.257,3,.69,0.121,.44,0.05%,RF,34
104,105,Aug 4,NYY,DET,"L,2-6",CG,4,3,1,0,0,0,0,1,1,0,0,0,0,,0,,0,0,.370,.503,.745,1.248,3,.97,-0.084,.46,-0.02%,RF,34
