,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
95,93,Jul 22,NYY,BOS,"W,11-9",CG,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.373,.630,1.003,3,0.49,-0.077,2.88,-0.27%,RF,36,4.353000000000001
96,94,Jul 23,NYY,BOS,"L,4-5",CG,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.272,.375,.627,1.002,3,1.64,0.122,9.08,0.41%,RF,36,4.4750000000000005
97,95,Jul 25 (1),NYY,CHW,"W,5-1",CG,4,4,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.274,.376,.643,1.019,3,0.66,0.174,3.71,0.59%,RF,38,4.649000000000001
98,96,Jul 25 (2),NYY,CHW,"W,12-0",CG,5,5,2,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,.279,.379,.659,1.038,3,0.45,0.052,2.63,0.18%,RF,40,4.7010000000000005
99,97,Jul 26,NYY,CHW,"W,5-2",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.277,.377,.654,1.031,3,0.43,-0.035,2.45,-0.12%,RF,40,4.666
100,98,Jul 27,NYY,CHW,"W,4-3",GS-5,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.281,.380,.658,1.039,3,1.09,0.113,6.35,0.40%,RF,40,4.779000000000001
101,99,Jul 28,NYY,BAL,"L,0-4",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.379,.654,1.033,3,0.77,-0.009,4.70,-0.03%,RF,40,4.7700000000000005
102,101 (1),Jul 30 (1),NYY,BAL,"L,0-4",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.378,.652,1.030,9,0.19,-0.005,1.07,-0.02%,PH,40,4.765000000000001
103,102,Jul 30 (2),NYY,BAL,"L,1-2",GS-8,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.280,.379,.649,1.029,3,2.21,0.14,13.10,0.50%,RF,40,4.905
105,103,Aug 2 (1),NYY,KCA,"W,6-5",CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.280,.380,.645,1.025,3,1.8,-0.095,10.66,-0.34%,RF,40,4.8100000000000005
106,104,Aug 2 (2),NYY,KCA,"W,12-5",GS-4,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.282,.382,.649,1.031,3,0.8,0.132,4.57,0.45%,RF,40,4.942
107,105,Aug 3,NYY,KCA,"L,1-6",CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.383,.647,1.031,3,0.55,-0.013,3.06,-0.05%,RF,40,4.929
108,106,Aug 4,NYY,MIN,"W,8-5",CG(10),5,4,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.283,.384,.651,1.035,3,0.83,0.083,4.87,0.29%,RF,41,5.0120000000000005
109,107,Aug 5,NYY,MIN,"W,2-1",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.284,.385,.648,1.033,3,1.17,0.012,7.01,0.04%,RF,41,5.024
110,108,Aug 6 (1),NYY,MIN,"W,7-6",CG(15),8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.380,.638,1.018,3,1.78,-0.165,10.58,-0.59%,RF,41,4.859
111,109,Aug 6 (2),NYY,MIN,"W,3-2",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.379,.634,1.013,3,1.03,-0.082,5.88,-0.28%,RF,41,4.777
112,110,Aug 7,NYY,LAA,"W,4-1",CG,4,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.281,.382,.633,1.015,3,1.44,0.138,8.14,0.47%,RF,41,4.915
113,111,Aug 8,NYY,LAA,"W,5-4",CG(10),5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.280,.380,.628,1.008,3,1.59,0.047,8.63,0.15%,RF,41,4.962
114,112,Aug 9,NYY,LAA,"W,2-0",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.377,.622,.999,3,0.7,-0.066,3.91,-0.22%,RF,41,4.896
115,113,Aug 10,NYY,LAA,"W,3-1",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.276,.378,.619,.997,3,0.61,0.002,3.25,0.01%,RF,41,4.898
116,114,Aug 11,NYY,WSA,"W,12-5",CG,6,5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.275,.378,.621,.998,3,0.39,-0.061,2.14,-0.20%,RF CF,42,4.837
117,115,Aug 12,NYY,WSA,"L,1-5",CG,4,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.278,.379,.629,1.008,3,0.57,0.126,2.83,0.37%,RF,43,4.963
118,116,Aug 13 (1),NYY,WSA,"L,2-12",CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.280,.380,.635,1.015,3,0.55,0.125,3.03,0.42%,RF,44,5.088
119,117,Aug 13 (2),NYY,WSA,"W,9-4",CG,5,5,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.281,.380,.639,1.019,3,0.53,0.151,3.13,0.53%,RF,45,5.239
120,118,Aug 15,NYY,CHW,"L,1-2",CG,4,3,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.284,.383,.649,1.031,3,1.42,0.236,7.36,0.73%,RF,46,5.475
121,119,Aug 16,NYY,CHW,"W,5-4",CG,4,4,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.288,.386,.664,1.049,3,1.05,0.355,6.85,1.38%,RF,48,5.83
122,120,Aug 17,NYY,CHW,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.285,.383,.658,1.040,3,0.6,-0.053,3.55,-0.19%,RF,48,5.777
123,121,Aug 18,NYY,CLE,"L,1-5",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.380,.652,1.031,3,0.51,-0.053,2.63,-0.16%,RF,48,5.724
124,122,Aug 19,NYY,CLE,"W,3-2",CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.376,.644,1.020,3,1.34,-0.073,7.51,-0.24%,RF,48,5.651
